country_iso3,region,year,value_range,numeric_value,low,high,disaggregation,data_source
MAR,Eastern Mediterranean,2003,No data,,,,DHSMICSGEOREGION_MARDHS200307,DHS
ETH,Africa,2019,No data,,,,AGEGROUP_YEARS20-49,DHS
KHM,Western Pacific,2014,75.0 [54.7-88.2],75.00954,54.72996,88.16842,DHSMICSGEOREGION_KHMDHS201411,DHS
KHM,Western Pacific,2014,62.8 [40.8-80.5],62.76467,40.83304,80.45755,DHSMICSGEOREGION_KHMDHS201408,DHS
SEN,Africa,2019,27.9 [13.2-49.7],27.92098,13.19409,49.6784,DHSMICSGEOREGION_SENDHS201907,DHS
RWA,Africa,2005,No data,,,,WEALTHDECILE_WEALTHDECILE04,DHS
CAF,Africa,2010,19.4 [11.3-31.1],19.35258,11.30826,31.112,WEALTHDECILE_WEALTHDECILE03,MICS
ARM,Europe,2005,No data,,,,WEALTHDECILE_WEALTHDECILE02,DHS
MWI,Africa,2015,75.8 [66.1-83.4],75.8131,66.11939,83.42844,WEALTHQUINTILE_WQ4,DHS
PER,Americas,2013,66.4 [44.4-83.0],66.39587,44.35814,83.04207,DHSMICSGEOREGION_PERDHS201316,DHS
GTM,Americas,2014,51.6 [47.8-55.4],51.56834,47.75487,55.36363,RESIDENCEAREATYPE_RUR,DHS
JOR,Eastern Mediterranean,2012,70.8 [50.3-85.3],70.81408,50.26946,85.34555,WEALTHDECILE_WEALTHDECILE03,DHS
KHM,Western Pacific,2010,65.6 [42.5-83.1],65.63042,42.49575,83.14851,WEALTHDECILE_WEALTHDECILE08,DHS
KEN,Africa,1998,No data,,,,WEALTHQUINTILE_WQ1,DHS
EGY,Eastern Mediterranean,1995,No data,,,,WEALTHQUINTILE_WQ2,DHS
NIC,Americas,1992,No data,,,,DHSMICSGEOREGION_NICRHS199204,RHS
PER,Americas,2017,73.6 [61.0-83.2],73.57808,60.95388,83.24278,DHSMICSGEOREGION_PERDHS201725,DHS
NER,Africa,2012,42.4 [31.4-54.1],42.35062,31.41235,54.09378,DHSMICSGEOREGION_NERDHS201204,DHS
GUY,Americas,2014,No data,,,,WEALTHDECILE_WEALTHDECILE08,MICS
BGD,South-East Asia,2012,30.0 [19.3-43.3],29.96708,19.33101,43.31308,DHSMICSGEOREGION_BGDMICS201202,MICS
SDN,Eastern Mediterranean,2010,68.7 [58.2-77.7],68.74609,58.19077,77.65964,DHSMICSGEOREGION_SDNMICS201007,MICS
SEN,Africa,2019,49.1 [40.4-57.9],49.10164,40.40125,57.85679,AGEGROUP_YEARS20-49,DHS
TLS,South-East Asia,2009,68.5 [53.8-80.2],68.50067,53.83244,80.22085,EDUCATIONLEVEL_PRLM,DHS
EGY,Eastern Mediterranean,2005,67.0 [42.0-85.0],67.00543,42.03745,85.04452,WEALTHDECILE_WEALTHDECILE02,DHS
KEN,Africa,2014,68.6 [58.9-77.0],68.62784,58.8779,76.97028,WEALTHDECILE_WEALTHDECILE05,DHS
GHA,Africa,2006,No data,,,,WEALTHDECILE_WEALTHDECILE10,MICS
IDN,Western Pacific,2012,86.8 [78.1-92.4],86.82452,78.14652,92.39198,WEALTHQUINTILE_WQ4,DHS
HND,Americas,2011,62.4 [48.4-74.6],62.38222,48.38499,74.57798,DHSMICSGEOREGION_HNDDHS201118,DHS
IND,South-East Asia,2005,75.4 [66.2-82.7],75.39082,66.2002,82.73416,WEALTHDECILE_WEALTHDECILE09,DHS
BIH,Europe,2011,No data,,,,AGEGROUP_YEARS20-49,MICS
SOM,Eastern Mediterranean,2006,No data,,,,AGEGROUP_YEARS15-19,MICS
PHL,Western Pacific,2013,No data,,,,DHSMICSGEOREGION_PHLDHS201303,DHS
ARM,Europe,2010,No data,,,,WEALTHDECILE_WEALTHDECILE09,DHS
KEN,Africa,1998,No data,,,,WEALTHQUINTILE_WQ3,DHS
ARM,Europe,2000,No data,,,,RESIDENCEAREATYPE_URB,DHS
SEN,Africa,2012,50.3 [25.6-74.8],50.26107,25.6034,74.79241,DHSMICSGEOREGION_SENDHS201214,DHS
NER,Africa,2012,45.1 [32.3-58.6],45.13489,32.33358,58.61421,WEALTHQUINTILE_WQ3,DHS
SLE,Africa,2019,78.7 [58.4-90.6],78.65615,58.43639,90.6186,DHSMICSGEOREGION_SLEDHS201904,DHS
TCD,Africa,2004,No data,,,,DHSMICSGEOREGION_TCDDHS200407,DHS
PER,Americas,2018,74.2 [63.8-82.4],74.15296,63.75971,82.38885,WEALTHQUINTILE_WQ4,DHS
IDN,Western Pacific,1994,No data,,,,DHSMICSGEOREGION_IDNDHS199407,DHS
BLR,Europe,2005,87.4 [77.0-93.5],87.41396,76.97127,93.51993,DHSMICSGEOREGION_BLRMICS200501,MICS
DOM,Americas,2007,70.9 [50.0-85.6],70.89701,49.9967,85.58088,DHSMICSGEOREGION_DOMDHS200718,DHS
ZMB,Africa,2013,79.6 [63.8-89.6],79.55653,63.76045,89.5914,WEALTHQUINTILE_WQ5,DHS
ZMB,Africa,2013,65.6 [54.7-75.1],65.59073,54.69655,75.05971,WEALTHQUINTILE_WQ2,DHS
SRB,Europe,2014,No data,,,,EDUCATIONLEVEL_NHLM,MICS
NGA,Africa,2008,35.7 [29.8-42.1],35.7171,29.79456,42.11076,EDUCATIONLEVEL_NHLM,DHS
